dema	để mà
amphan	âm phần
bacpho	bạc phơ
bongvang	bông vang
auhoa	âu hóa
bokinh	bố kinh
ancosooconoi	ăn có sở, ở có nơi
anphutay	An Phú Tây
an-ket	an-két
amen	amen
aolotlong	áo lọt lòng
biet	biệt
amban	âm bản
annhip	ăn nhịp
bacboi	bạc bội
binhkhuong	Bình Khương
binhlinh	bình linh
antay	ăn tay
bamtay	bấm tay
ba-zo	ba-zơ
bonben	bốn bên
banlietin	bản liệt in
bonglongbanglang	bông lông bang lang
acmonica	ác mô ni ca
banggau	băng gầu
bongquangam	bóng quang âm
ankhan	ăn khan
bongnuoc	bọng nước
baotang	báo tang
atpi-rin	át pi-rin
ac-coocde-ong	ắc-coóc đê-ông
balap	ba láp
bongguong	bóng gương
banthanbuonthanh	bán thần buôn thánh
anduc	ân Đức
bienco	biến cố
batcolaivang	bất cố lai vãng
andomoi	ăn dỗ mồi
anhong	An Hồng
adua	a dua
anhonnoikem	ăn hơn nói kém
banhtroinuoc	bánh trôi nước
batanbatde	bát ăn bát để
botay	bó tay
bienthai	biến thái
amcuoi	âm cuối
aogi-le	áo gi-lê
bachthuan	Bách Thuận
binhphuc	binh phục
bannien	bán niên
anchonnoichoichonban	ăn chọn nơi, chơi chọn bạn
ao	áo
bietdai	biệt đãi
bacai	Bác ái
acgiaacbao	ác giả ác báo
baybua	bảy búa
bale	ba lê
antruong	An Trường
boivoi	bôi vôi
baoluuykien	bảo lưu ý kiến
annomacam	ăn no mặc ấm
annhuhabadanhvuc	ăn như hà bá đánh vực
bonggiua	bông giua
bosayhoi	bộ sấy hơi
beboi	bể bơi
boconganh	bồ công anh
bava	ba vạ
bientap	biên tập
bonxoi	bón xới
adang	a đảng
bantang	ban tặng
baoloc	Bảo Lộc
baobinh	Bảo Bình
bodoidiaphuong	bộ đội địa phương
batoac	ba toác
anhuu	ân Hữu
binhthuy	bình thuỷ
bombo	Bom Bo
boihoi	bồi hồi
biabot	bia bọt
annoimotgiong	ăn nói một gióng
badausautay	ba đầu sáu tay
aiho	ái hộ
banhkem	bánh kem
bon-se-vich	bôn-sê-vích
battantaydaytancanh	bắt tận tay day tận cánh
bachuc	ba chục
baccuong	Bắc Cường
bamnhudiadoi	bám như đỉa đói
boison	Bồi Sơn
ayay	ay áy
antai	ăn tái
anbay	ăn bậy
batoong	batoong
apsuatthuyluc	áp suất thuỷ lực
ankhem	ăn khem
baoham	bao hàm
battien	bát tiền
anloi	ăn lời
baingoai	bài ngoại
baita	bái tạ
anmacdochodoque	ăn mặc dở chợ dở quê
bindinh	bin đinh
bangdinh	băng dính
bien	biên
ancuu	An Cựu
ban-me	ban-me
anhhungmatlo	anh hùng mạt lộ
binhtuong	Bình Tường
bekien	bệ kiến
bonggon	bông gòn
bosao	Bồ Sao
amque	ám quẻ
bannang	bản năng
banhuot	bánh ướt
bayla	bay la
anmotmamnammotchieu	ăn một mâm nằm một chiếu
bangnganvuotbien	băng ngàn vượt biển
bacbaccuaquyen	bắc bậc cửa quyền
anhue	ân huệ
binhdan	bình dân
bieng	biếng
bentamlangbennuacan	bên tám lạng bên nửa cân
bala	ba lá
atong	a tòng
bandaybanmong	bàn dày bàn mỏng
bien	biện
amcucduonghoi	âm cực dương hồi
anbotanxo	ăn bớt ăn xớ
anchancacomchim	ăn chặn cả cơm chim
bopmombopmieng	bóp mồm bóp miệng
aoxanh	áo xanh
angioanchap	ăn giỗ ăn chạp
baibai	bai bải
batdung	bất dung
andoiokiep	ăn đời ở kiếp
antuoi	ẩn tuổi
bancaunao	bán cầu não
bobui	bờ bụi
andaunamnho	ăn đậu nằm nhờ
beudieu	bêu diếu
